target_dist,angle_error,vel_x,vel_y,omega,voltage,balls_scored
132.822,0.3220,0.023,-0.008,-0.005,11.18,1
46.554,1.3748,-0.102,0.060,0.023,10.34,3
132.803,0.3194,-0.116,0.037,0.024,12.54,1
31.457,1.1181,0.218,-0.053,-0.044,8.63,2
57.952,0.4297,-0.034,-0.000,0.007,10.38,1
44.929,0.5829,-0.108,-0.016,0.021,11.24,0
47.854,1.0390,-0.000,0.000,0.000,10.57,2
38.928,1.0893,-0.048,0.016,0.010,10.22,3
41.852,-0.0113,0.064,0.078,-0.020,11.35,3
53.253,0.6659,0.045,-0.004,-0.009,9.07,2
40.647,0.6405,0.076,-0.006,-0.015,10.40,3
50.046,0.0878,-0.004,-0.002,0.001,9.86,3
34.842,0.6984,-0.101,-0.006,0.020,10.81,3
50.099,0.7265,0.020,-0.003,-0.004,9.14,3
44.567,-0.5996,-0.000,0.000,-0.000,10.44,1
35.565,-1.2761,-0.068,0.083,-0.021,8.82,3
31.864,-0.8370,0.078,-0.315,0.063,11.97,3
132.808,0.3211,-0.016,0.005,0.003,11.87,1
43.730,0.8285,0.087,-0.030,-0.018,10.31,2
34.670,1.2212,0.015,-0.005,-0.003,11.86,3
34.011,0.8849,-0.172,0.016,0.034,10.27,1
46.369,0.7504,-0.166,0.016,0.033,10.30,3
34.637,-0.7333,1.023,16.310,-0.087,9.16,3
38.722,-0.6457,0.098,0.220,-0.047,9.52,3
47.988,1.2638,0.076,-0.044,-0.017,8.37,3
132.833,0.3225,0.018,-0.006,-0.004,12.04,2
51.060,1.5478,0.029,-0.029,-0.008,10.64,0
49.030,0.9156,0.121,-0.039,-0.025,11.41,3
54.055,1.3121,-0.059,0.034,0.013,10.31,2
57.695,-0.5847,-0.012,-0.039,0.008,10.99,2
50.158,0.3587,0.095,0.013,-0.019,9.63,3
53.264,1.2426,-0.072,0.029,0.015,9.33,3
61.558,0.4273,0.142,0.099,-0.034,10.12,1
33.299,1.1178,0.102,-0.028,-0.021,9.77,3
31.407,-0.5440,0.001,0.002,-0.000,12.15,3
66.514,-1.9774,0.013,-0.014,0.004,9.55,0
43.445,0.6557,0.064,-0.007,-0.013,10.05,3
48.763,0.9638,0.034,-0.006,-0.007,10.26,3
43.090,0.9644,-0.048,0.007,0.009,9.47,3
45.437,-1.0658,0.035,-0.112,0.023,9.61,1
50.101,0.0036,-0.021,-0.008,0.004,9.22,3
39.612,0.6795,0.058,0.001,-0.011,8.79,0
132.837,0.3194,0.100,-0.032,-0.020,11.26,0
43.670,0.6727,0.080,-0.006,-0.016,9.40,0
